text,label
"Religion is a mystery. It's a murder, an abduction, perhaps more, even rape and theft and molestation. So, the athe",0
Dr1ven Industries wooooohoooooo!!! Just broke 3800 subscribers thank you so much every,0
"Our Genomics and Precision Health hot topics of the day include genetics laboratory practice, genomics and pain",0
"Today I just got out of the hospital for an attempted suicide ... I feel better than before, although my mother does not think her partner is hurting me. I'm ashamed to say it in my personal account, that's why I write it in \anonymous\"", thanks for asking, it's good to know that""",2
And she also says in the clip that she knew that this could impact suicide rates for trans students,0
Mandatory measles vaccine in NYC? \n\nWhat's the next mandatory vaccine for the public good?\n\nWhat's the next health condition requiring mandatory fix?\n\nLow IQ gets neutered? Those with chronic illnesses or the elderly get assisted suicide,0
"If Lisa wanted the subject to be suicide, she could easily control the narrative. Instead, she prefers to play the victim in a story about a dog that is just fine. LVP is a master manipulator and the proof is all the people on social  buying into her game.",0
"More teenagers take their own lives #suicide, than die by #cancer, #infections, #heart disease, #diabetes &amp; #asthma",0
"So, Apollo, the first thing to do with this kind of depression is to back away from the ledge, so to speak. Go to the",1
Kenneth Starr admits he\u00a0omitted in FBI report that Hillary Clinton triggered Vince Foster's suicide,0
"Hi, I'm Vince Foster \nRemember me? \n\nI was going to testify against Hillary Clinton. But I committed suicide on a park",2
Voting for Congress and DMK is like commiting suicide,2
"No reason to live, want to die",2
"Hi, I'm Vince Foster \nRemember me? \n\nI was going to testify against Hillary Clinton. But I committed suicide on a park",2
SDF have arrested a ISIS suicide bomber has he was about to blow himself up at a checkpoint in Diban in the village of,0
I kissed jin for god's sake............ Strong power....,0
I've deleted every suicide note I started in my Notes on my phone...y you all don't understand how big that is for me,1
Super important hotlines:\n\nSuicide: 1-800-273-TALK\n\nSelf Harm: 1-800-366-8288\n\nAddiction: 1-800-662-4357\n\nEating Disorders,0
Kenneth Starr admits he\u00a0omitted in FBI report that Hillary Clinton triggered Vince Foster's suicide,0
Crime by women 48\n#CrimeByWomen\n#AblaNari\n\nSochked to see this is increasing day by day,0
Exactly kausar bilal didn't want case to be in sb now before verdict she attempted suicide,2
I've deleted every suicide note I started in my Notes on my phone...y you all don't understand how big that is for me,1
"Now it's enough, committing suicide",2
Ken Starr says Hillary Clinton DID trigger Vince Foster's suicide when she humiliated him in front of White House staff,0
This murder suicide.  According to the woman's father she couldn't take the abuse anymore - including him bringing in,1
"THE UGLY SIDE OF GREED FOR POWER.\n\nBlood on her hands, as ice water runs through her own veins.\nNo wander she has no problem",0
"Juste pour rigoler, sinon beaucoup de courage,  reste positif et garde toujours cette flamme allum",0
"Suicide\n\nAccording to the most recent accessible data, Texas holds the record for the number of veteran suicides",0
My kind of woman - Mac demarco\nAudubon - suicideboys\nRhinestone eyes - gorillaz\nI no longer fear the razor guarding,0
"I was just thinking, will we see a suicide weekend or a FF soon?",0
"Honoring U.S. Marines killed in suicide car bomb attack in Afghanistan Monday: Cpl. Robert A. Hendriks, 25, Locust Valley",0
HusbandSuicide -35\nMan committed suicide bcz of marital discord.\nAs per NCRB family problems is d biggest reason of suicide,1
Bakugo used to beat the shit out of Deku and He told Deku to commit suicide\nYET hes the most popular character,1
We lost 3 Marines today.\nTwo veterans committed suicide at VA in GA. \nWe have so many Veterans in need,2
I've deleted every suicide note I started in my Notes on my phone...y you all don't understand how big that is for me,2
"What, is she going to suicide bomb something?  Or was that not what you were implying?",1
